Print ID	Scan ID	DOM ID	ARK
000558331	014603356	lsidyv2eb8204d	ark:/81055/vdc_000000028BC6
000558392	014603357	lsidyv2eb87c66	ark:/81055/vdc_000000028C56
000558397	014603358	lsidyv2eb718c8	ark:/81055/vdc_000000028A6A
000558403	014603359	lsidyv2eb7cd75	ark:/81055/vdc_000000028B5A
000558506	014603360	lsidyv2eb7d1c0,lsidyv338299eb	ark:/81055/vdc_000000028B66,ark:/81055/vdc_00000002B52A
000558509	014603361	lsidyv2eb82b74	ark:/81055/vdc_000000028BDE
000690901	014603362	lsidyv2eb63ebe	ark:/81055/vdc_000000028962
000733223	014603363	lsidyv2eb73413	ark:/81055/vdc_000000028A94
000742727	014603391	lsidyv2eb8ffee	ark:/81055/vdc_000000028CF8
001201939	014603392	lsidyv2eb8f546	ark:/81055/vdc_000000028CE6
001231823	014603393	lsidyv2eb90f96	ark:/81055/vdc_000000028D16
002942150	014603394	lsidyv2eb8ff74	ark:/81055/vdc_000000028CF2
003369453	014603395	lsidyv2eb92565	ark:/81055/vdc_000000028D3A
003426681	014603396	lsidyv2eb901f2	ark:/81055/vdc_000000028CFE
000667540	014603397	lsidyv2eb930f7	ark:/81055/vdc_000000028D46
002508906	014603403	lsidyv2eb93d65	ark:/81055/vdc_000000028D58
002049242	014603410	lsidyv2eb943ca	ark:/81055/vdc_000000028D6A
000044482	014603411	lsidyv2eb93e19	ark:/81055/vdc_000000028D5E
001721443	014603416	lsidyv2eb9925f	ark:/81055/vdc_000000028DB2
003213601	014603417	lsidyv2eb99d97	ark:/81055/vdc_000000028DC4
003672798	014603418	lsidyv2eb99ce8	ark:/81055/vdc_000000028DBE
002941588	014603428	lsidyv2eb9cdac	ark:/81055/vdc_000000028DF4
000120040	014603434	lsidyv2eb9da57	ark:/81055/vdc_000000028E0C
001054910	014603437	lsidyv2eba0da2	ark:/81055/vdc_000000028E36
002796036	014603438	lsidyv2eba0e26	ark:/81055/vdc_000000028E3C
003159157	014603439	lsidyv2eba07ab	ark:/81055/vdc_000000028E24
000062518	014603440	lsidyv2eba0cf1	ark:/81055/vdc_000000028E30
001346112	014603444	lsidyv2eba2110	ark:/81055/vdc_000000028E60
001680860	014603445	lsidyv2eba0f7c	ark:/81055/vdc_000000028E42
001747808	014603446	lsidyv2eba114d	ark:/81055/vdc_000000028E48
001916322	014603447	lsidyv2eba17b3	ark:/81055/vdc_000000028E54
002605599	014603448	lsidyv2eba216d	ark:/81055/vdc_000000028E66
000158251	014603449	lsidyv2eba204e	ark:/81055/vdc_000000028E5A
000543609	014603450	lsidyv2eba2220	ark:/81055/vdc_000000028E6C
000595418	014603461	lsidyv2eba22bc	ark:/81055/vdc_000000028E72
000664949	014603462	lsidyv2eba2553	ark:/81055/vdc_000000028E84
000887727	014603463	lsidyv2eba243a	ark:/81055/vdc_000000028E7E
001196437	014603464	lsidyv2eba2ca2	ark:/81055/vdc_000000028E90
002741719	014603465	lsidyv3b6400f0,lsidyv2eba2349	ark:/81055/vdc_00000004F4CA,ark:/81055/vdc_000000028E78
003823623	014603466	lsidyv2eba2d0b	ark:/81055/vdc_000000028E96
001249302	014603470	lsidyv2eba2ecb	ark:/81055/vdc_000000028EA8
001818869	014603471	lsidyv2eba2d5c	ark:/81055/vdc_000000028E9C
000819534	014603475	lsidyv2eba4569	ark:/81055/vdc_000000028EC0
002745536	014603476	lsidyv2eba4d24	ark:/81055/vdc_000000028ECC
000891162	014603480	lsidyv2eba5c61	ark:/81055/vdc_000000028EF0
003458660	014603481	lsidyv2eba59f2	ark:/81055/vdc_000000028EE4
000360180	014603483	lsidyv2eba72ba	ark:/81055/vdc_000000028F08
003904025	014603488	lsidyv2eba8339,lsidyv2af020e7	ark:/81055/vdc_000000028F20,ark:/81055/vdc_00000004262A
002360059	014603493	lsidyv2eba85af	ark:/81055/vdc_000000028F2C
002485724	014603494	lsidyv3a9d45a4,lsidyv2ebaa5c7	ark:/81055/vdc_00000004636E,ark:/81055/vdc_000000028F50
003077986	014603506	lsidyv2ebace1a	ark:/81055/vdc_000000028F74
003967051	014603509	lsidyv2ebad902	ark:/81055/vdc_000000028F86
001270107	014603520	lsidyv2ebad992	ark:/81055/vdc_000000028F8C
000074744	014603525	lsidyv2ebb073e	ark:/81055/vdc_000000028FB6
000022288	014605541	lsidyv2ebb5354	ark:/81055/vdc_000000029034
000558336	014605542	lsidyv2ebb8ccc	ark:/81055/vdc_00000002908E
